cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61,cell62,cell63,cell64,cell65,cell66,cell67,cell68,cell69,cell70,cell71,cell72,cell73,cell74,cell75,cell76,cell77,cell78,cell79,cell80,cell81,cell82,cell83,cell84,cell85,cell86,cell87,cell88,cell89,cell90,cell91,cell92,cell93,cell94,cell95,cell96,cell97,cell98,cell99,cell100,cell101,cell102,cell103,cell104,cell105,cell106,cell107,cell108,cell109,cell110,cell111,cell112,cell113,cell114,cell115,cell116,cell117,cell118,cell119,cell120,cell121,cell122,cell123,cell124,cell125,cell126,cell127,cell128,cell129,cell130,cell131,cell132,cell133,cell134,cell135,cell136,cell137,cell138,cell139
10862,9126.8,8209,12438,9055.6,9765.8,8606.9,9893.8,8765.5,10876,11859,11019,9086.5,10077,10668,8855,12353,11731,9861.1,8409.9,9376,10685,12921,9413.5,11103,12099,10138,11755,12312,10613,8579.5,11149,11125,10970,10744,11500,8977.5,10324,11130,11034,10953,12358,10869,9504.5,12281,9750,10800,10865,11871,11773,11712,10760,11419,10187,10866,10917,9477.8,10105,10951,10798,11326,10601,11363,8072.5,11227,9292.7,11696,11879,11110,11371,9256.4,8118.3,10438,12347,11667,13362,10421,9454.5,8994.1,11154,9957,7950.4,9909.6,11102,11214,10265,8076,10914,10353,11029,10242,8871.8,9965.2,8280.5,10795,9885.4,7821.1,13977,11932,11747,9386,10333,7827.8,9737.2,9053,12559,10910,10939,10211,10791,10855,10361,9258.6,12250,10985,11016,11103,10613,10192,10925,7923.8,10660,11217,9623.4,10247,9812.5,9561,9365.4,10027,7829.3,7232.6,9825,9921.7,9740.3,9593.8,8783.1,6180.3,8084.8,7965.2
10731,9169,8246.3,12385,9088.9,9752.3,8475.9,9925,8696.6,10876,11838,11006,9062.3,10089,10674,8817.8,12342,11736,9875,8341.6,9400,10678,12872,9471.2,11116,12060,10106,11736,12271,10656,8522.7,11142,11096,10970,10762,11415,9007.5,10302,11111,11040,10936,12327,10883,9504.5,12355,9862.5,10770,10826,11818,11765,11636,10710,11407,10176,10948,10931,9522.2,10053,10956,10815,11316,10578,11321,8062.8,11159,9317.1,11696,11864,11114,11341,9294.9,8145.2,10467,12339,11673,13426,10355,9483,9035.3,11175,10016,7975.2,9875.7,11102,11223,10239,8081.9,10944,10373,11059,10283,8880.3,10017,8317.1,10815,9906.2,7894.3,13939,11957,11747,9368.4,10388,7861.1,9705.1,9006.6,12577,10940,10902,10211,10890,10863,10472,9267.2,12188,11005,10989,11090,10622,10177,10897,7952.4,10673,11167,9610.4,10420,9850,9463.4,9394.2,10044,7902.4,7232.6,9875,9927.7,9636.4,9609.4,8801.2,6098.4,8054.5,7949.2
10754,9126.8,8216.4,12447,9072.2,9756.8,8475.9,9931.2,8737.9,10876,11848,10948,9072.7,10041,10668,8810.4,12294,11741,9916.7,8391.3,9408,10720,12894,9423.1,11034,12103,10149,11670,12240,10625,8681.8,11097,11096,10952,10740,11478,9022.5,10324,11176,11017,10959,12340,10846,9486.5,12298,9787.5,10822,10831,11775,11780,11678,10710,11415,10187,10907,10972,9544.4,10066,10980,10783,11311,10547,11232,8048.3,11205,9353.7,11710,11856,11092,11312,9282.1,8134.4,10429,12343,11691,13397,10382,9494.3,9005.9,11208,10000,7917.4,9870.1,11123,11185,10231,8076,10955,10314,11011,10333,8820.5,10017,8256.1,10815,9885.4,7935,13939,11901,11773,9368.4,10352,7844.4,9660.3,9006.6,12577,10940,10890,10188,10813,10839,10389,9284.5,12188,11000,11033,11041,10588,10218,10801,8028.6,10634,11196,9597.4,10506,9775,9487.8,9442.3,10080,7878,7232.6,9750,9927.7,9636.4,9703.1,8843.4,6131.1,8060.6,7978.6
10754,9112.7,8209,12381,9072.2,9783.8,8558.6,9900,8689.7,10925,11803,11000,9062.3,10065,10658,8858.7,12326,11736,9944.4,8354,9392,10622,12890,9375,11116,12086,10064,11708,12281,10609,8636.4,11104,11038,10994,10714,11482,8992.5,10295,11130,11040,10953,12321,10855,9549.5,12268,9725,10763,10865,11794,11705,11619,10680,11435,10220,10918,10931,9455.6,10079,10990,10775,11378,10537,11190,8062.8,11091,9304.9,11705,11909,11075,11359,9166.7,8112.9,10362,12376,11728,13340,10414,9431.8,8970.6,11187,9930.1,7950.4,9841.8,11118,11198,10214,8146.2,10934,10399,11019,10275,8837.6,10009,8292.7,10800,9895.8,7918.7,14015,11925,11747,9377.2,10388,7816.7,9653.8,9046.4,12518,10952,10927,10227,10868,10863,10319,9280.2,12138,10980,11038,11076,10580,10233,10808,7961.9,10595,11225,9584.4,10642,9787.5,9447.2,9375,10053,7865.9,7093,9787.5,9939.8,9740.3,9671.9,8807.2,6065.6,8048.5,7957.2
10792,9126.8,8201.5,12358,9055.6,9806.3,8579.3,9906.2,8696.6,10919,11854,10968,9069.2,10101,10636,8829,12294,11772,9826.4,8347.8,9392,10580,12903,9442.3,11007,12091,10085,11717,12250,10660,8636.4,11082,11077,10940,10652,11513,8977.5,10374,11083,11034,10982,12346,10846,9486.5,12289,9787.5,10793,10837,11804,11727,11636,10670,11387,10253,10959,10972,9533.3,10053,10975,10786,11404,10578,11256,8043.5,11182,9280.5,11674,11924,11101,11324,9269.2,8118.3,10381,12343,11704,13397,10411,9562.5,9000,11202,9983.9,7942.1,9904,11107,11212,10239,8105.3,10939,10359,11043,10267,8888.9,10026,8243.9,10856,9843.8,7886.2,13970,11938,11687,9320.2,10364,7855.6,9730.8,9019.9,12540,10946,10915,10164,10857,10839,10389,9228.4,12175,10995,11027,11041,10639,10211,10911,7942.9,10654,11167,9519.5,10790,9762.5,9487.8,9394.2,10053,7939,7348.8,9762.5,9957.8,9714.3,9640.6,8795.2,6049.2,8024.2,7959.9
10723,9084.5,8186.6,12385,9072.2,9765.8,8572.4,9931.2,8710.3,10888,11823,11006,9045,10053,10717,8829,12342,11782,9854.2,8372.7,9424,10643,12881,9500,11055,12082,10106,11698,12188,10613,8647.7,11104,11115,10940,10683,11473,8962.5,10266,11065,11017,10936,12289,10836,9513.5,12246,9850,10815,10893,11813,11795,11576,10770,11375,10253,10856,10931,9522.2,10092,10990,10751,11347,10571,11250,8072.5,11136,9353.7,11679,11833,11070,11347,9217.9,8129,10371,12314,11735,13348,10359,9517,9005.9,11127,9978.5,7950.4,9853.1,11155,11182,10248,8128.7,10889,10294,11027,10225,8829.1,10035,8280.5,10805,9885.4,7894.3,13947,11901,11707,9394.7,10412,7822.2,9685.9,9006.6,12518,10946,10866,10172,10890,10887,10375,9206.9,12125,10955,11000,11090,10664,10173,10836,8000,10582,11174,9545.5,10889,9800,9479.7,9461.5,10053,7853.7,7255.8,9887.5,9945.8,9636.4,9625,8783.1,6163.9,8048.5,7951.9
10815,9070.4,8261.2,12407,9072.2,9815.3,8537.9,9887.5,8696.6,10888,11864,10942,9058.8,10083,10652,8873.6,12342,11767,9875,8366.5,9408,10657,12841,9451.9,11089,12091,10096,11698,12240,10628,8670.5,11097,11135,10946,10767,11478,9003.7,10266,11139,11017,11006,12327,10888,9495.5,12289,9775,10785,10904,11766,11727,11644,10700,11371,10198,10959,10958,9500,10053,11000,10789,11301,10574,11292,8062.8,11091,9304.9,11647,11902,11096,11300,9243.6,8177.4,10429,12343,11747,13340,10391,9534.1,9005.9,11208,9924.7,7958.7,9920.9,11150,11241,10333,8152,10884,10288,11035,10258,8871.8,10052,8341.5,10836,10000,7878,13871,11882,11693,9421.1,10364,7877.8,9679.5,9026.5,12529,10928,10939,10258,10813,10806,10389,9262.9,12175,10955,11016,11069,10622,10244,10849,7961.9,10582,11138,9558.4,11037,9800,9447.2,9461.5,10071,7951.2,7209.3,9825,9969.9,9636.4,9562.5,8843.4,6098.4,8024.2,7967.9
10808,9056.3,8246.3,12394,9050,9833.3,8544.8,9962.5,8751.7,10857,11793,10987,9076.1,10059,10614,8851.3,12353,11803,9923.6,8422.4,9436,10650,12877,9423.1,11096,12151,10064,11698,12188,10644,8715.9,11142,11115,11000,10744,11504,8973.8,10266,11111,11028,10988,12314,10836,9594.6,12272,9737.5,10852,10899,11861,11720,11661,10810,11399,10209,10969,10931,9488.9,10105,11034,10766,11399,10588,11274,8077.3,11159,9414.6,11670,11894,11118,11276,9294.9,8204.3,10514,12396,11735,13390,10424,9460.2,8964.7,11205,9978.5,7966.9,9898.3,11160,11223,10256,8210.5,10939,10346,11072,10300,8837.6,9973.9,8268.3,10821,9989.6,7837.4,13924,11932,11800,9381.6,10327,7844.4,9724.4,9066.2,12574,10940,10915,10289,10769,10831,10389,9254.3,12162,10980,11016,11055,10639,10199,10952,7971.4,10627,11188,9506.5,11123,9787.5,9455.3,9423.1,10053,7939,7186,9837.5,9957.8,9623.4,9609.4,8843.4,6180.3,8072.7,7967.9
10715,9126.8,8253.7,12425,9044.4,9761.3,8586.2,9937.5,8717.2,10863,11869,11052,9041.5,10065,10663,8817.8,12321,11705,9902.8,8391.3,9392,10594,12837,9509.6,11110,12103,10085,11708,12229,10672,8636.4,11157,11096,10929,10722,11491,9026.2,10259,11111,11051,10965,12371,10874,9594.6,12276,9750,10859,10792,11837,11780,11644,10780,11431,10253,10959,10944,9377.8,10072,11000,10772,11383,10601,11268,8067.6,11136,9402.4,11688,11909,11066,11324,9256.4,8145.2,10419,12290,11704,13397,10362,9454.5,9052.9,11202,9957,7991.7,9870.1,11139,11233,10205,8222.2,10929,10294,11070,10158,8897.4,10043,8280.5,10846,9916.7,7894.3,13970,11969,11787,9350.9,10394,7850,9730.8,9019.9,12562,10934,10963,10203,10835,10871,10361,9267.2,12188,11005,11005,11062,10605,10256,10877,7971.4,10556,11167,9532.5,11198,9900,9528.5,9365.4,10000,7841.5,7186,9837.5,9921.7,9714.3,9656.2,8825.3,6114.8,8066.7,7954.5
10754,9098.6,8253.7,12429,9077.8,9797.3,8544.8,10012,8786.2,10888,11833,10981,9083,10089,10658,8829,12316,11746,9875,8391.3,9376,10692,12850,9538.5,11075,12095,10064,11708,12271,10597,8602.3,11112,11087,10994,10753,11455,9000,10331,11111,11034,11006,12321,10897,9504.5,12316,9775,10778,10848,11761,11803,11602,10730,11452,10242,10948,10986,9566.7,10072,10985,10780,11389,10561,11274,8062.8,11205,9304.9,11723,11932,11105,11259,9307.7,8129,10457,12331,11698,13348,10362,9460.2,9000,11157,9951.6,7958.7,9932.2,11107,11204,10239,8257.3,10919,10359,11019,10233,8854.7,10000,8304.9,10846,9885.4,7910.6,13985,11932,11740,9421.1,10333,7883.3,9666.7,9059.6,12562,10934,10927,10164,10802,10887,10486,9306,12225,10970,11005,11041,10630,10263,10849,7971.4,10529,11225,9610.4,11198,9850,9512.2,9375,10035,7865.9,7255.8,9812.5,9988,9649.4,9578.1,8861.4,6147.5,8078.8,7981.3
